SubID,Include,Exclusion_reason,Counting,Task,Trial,response,scorenotes,accuracy
BABSYN400,0,missed trial,yes,Backward,13to9,"12, 13..",NA,0
BABSYN400,0,missed trial,yes,Backward,18to14,dk,NA,0
BABSYN400,0,missed trial,yes,Backward,26to22,dk,NA,0
BABSYN400,0,missed trial,yes,Backward,5to1,"5, 4, 3, 4, 5, 6",NA,0
BABSYN400,0,missed trial,yes,Backward,7to3,"29, 26",NA,0
BABSYN400,0,missed trial,yes,Backward,8to4,dk,NA,0
BABSYN400,0,missed trial,yes,Forward,18to21,"18, 4, 5, 6",NA,0
BABSYN400,0,missed trial,yes,Forward,21to24,"21, 28, 29, 20-zero",NA,0
BABSYN400,0,missed trial,yes,Forward,35to39,"35, 60, 70,80",NA,0
BABSYN400,0,missed trial,yes,Forward,4to9,"4, 5, 6, 7, 8, 9",Counted all #'s in correct order,1
BABSYN400,0,missed trial,yes,Forward,5to7,"5, 10, 11",NA,0
BABSYN400,0,missed trial,yes,Forward,6to12,"6, 10, 11, 12",NA,0
BABSYN400,0,missed trial,yes,next,target23,13,NA,0
BABSYN400,0,missed trial,yes,next,target29,3?,NA,0
BABSYN400,0,missed trial,yes,next,target37,38,NA,1
BABSYN400,0,missed trial,yes,next,target40,49,NA,0
BABSYN400,0,missed trial,yes,next,target59,60-zero,NA,0
BABSYN400,0,missed trial,yes,next,target62,38 million,NA,0
BABSYN400,0,missed trial,yes,next,target70,nothing,NA,0
BABSYN400,0,missed trial,yes,next,target86,none,NA,0
BABSYN400,0,missed trial,yes,skip,by10s,"12, 20, dk",NA,0
BABSYN400,0,missed trial,yes,skip,by2s,no,NA,0
BABSYN400,0,missed trial,yes,skip,by5s,"2, 9, (tuna?)",NA,0
BABSYN401,1,NA,yes,Backward,13to9,"13, 12, DK",NA,0
BABSYN401,1,NA,yes,Backward,18to14,"18, 17, 16, 15, 20",NA,0
BABSYN401,1,NA,yes,Backward,26to22,"26, 25, 20-30, 22, 21",NA,0
BABSYN401,1,NA,yes,Backward,5to1,"5, 4, 3, 2, 1",Counted all #'s in correct order,1
BABSYN401,1,NA,yes,Backward,7to3,"7, 6, 5, 4, 3",Counted all #'s in correct order,1
BABSYN401,1,NA,yes,Backward,8to4,"8, 7, 6, 5, 4",Counted all #'s in correct order,1
BABSYN401,1,NA,yes,Forward,18to21,"18, 19, 20, 21",Counted all #'s in correct order,1
BABSYN401,1,NA,yes,Forward,21to24,"21, 20, 30",NA,0
BABSYN401,1,NA,yes,Forward,35to39,"35, 40, 45, 46",NA,0
BABSYN401,1,NA,yes,Forward,4to9,"4, 5, 6, 7, 8, 9",Counted all #'s in correct order,1
BABSYN401,1,NA,yes,Forward,5to7,"5, 10, 15",NA,0
BABSYN401,1,NA,yes,Forward,6to12,"6, 5, 4, 3, 2, 1",NA,0
